City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
267,sao desiderio,-12.3633,-44.9733,26.0,64,98,0.58,BR,1680818347
268,meulaboh,4.1363,96.1285,24.4,88,100,1.49,ID,1680818347
269,norman wells,65.282,-126.8329,-7.98,62,100,3.09,CA,1680818347
270,swellendam,-34.0226,20.4417,20.87,66,60,1.93,ZA,1680818347
271,bilibino,68.0546,166.4372,-15.55,87,31,0.86,RU,1680818347
272,murdochville,48.9583,-65.5006,-0.51,98,100,2.89,CA,1680818348
273,lincoln,40.8,-96.667,16.61,25,0,6.69,US,1680818089
274,alexandria,31.2156,29.9553,16.3,57,59,0.96,EG,1680818348
275,sao joao do paraiso,-15.3136,-42.0144,25.91,48,100,4.15,BR,1680818348
276,beloha,-25.1667,45.05,21.93,91,100,4.8,MG,1680818076
277,saint george,37.1041,-113.5841,18.57,16,0,2.68,US,1680818091
278,yangambi,0.8102,24.4336,22.01,83,86,0.96,CD,1680818349
279,narsaq,60.9167,-46.05,-3.18,95,55,1.25,GL,1680818349
280,maniitsoq,65.4167,-52.9,-5.2,55,100,2.5,GL,1680818350
281,ransang,8.9603,117.5828,25.18,84,100,1.61,PH,1680818350
282,krasnoselkup,65.7,82.4667,-28.87,97,24,4.88,RU,1680818350
283,briceno,7.111,-75.5515,21.28,94,100,0.65,CO,1680818350
284,tacuarembo,-31.7333,-55.9833,21.43,56,97,5.55,UY,1680818351
285,asau,46.4333,26.4,0.71,93,100,1.88,RO,1680818351
286,scortoasa,45.3667,26.6667,3.04,78,100,2.25,RO,1680818351
287,beringovskiy,63.05,179.3167,-11.28,91,100,4.95,RU,1680818351
288,deputatskiy,69.3,139.9,-23.58,96,92,1.34,RU,1680818351
289,san quintin,30.4833,-115.95,17.67,46,0,6.41,MX,1680818352
290,suoyarvi,62.0833,32.35,-6.23,99,91,1.75,RU,1680818352
291,bud,39.447,-86.1758,11.49,43,100,3.69,US,1680818352
292,jacareacanga,-6.2222,-57.7528,22.64,99,100,0.23,BR,1680818352
293,gunjur,13.2019,-16.7339,25.04,69,94,4.63,GM,1680818352
294,jaynagar,26.5833,86.15,22.76,19,0,1.87,IN,1680818352
295,naze,28.3667,129.4833,19.51,90,93,8.07,JP,1680818353
296,babati,-4.2167,35.75,18.11,80,87,1.09,TZ,1680818353
297,jamnagar,22.4667,70.0667,26.31,53,79,3.05,IN,1680818353
298,tigil,57.8,158.6667,-5.06,90,92,7.13,RU,1680818353
299,van,38.4924,43.3831,5.33,76,23,1.19,TR,1680818353
300,lebu,-37.6167,-73.65,12.8,78,50,7.2,CL,1680818116
301,baza,37.4907,-2.7726,12.45,52,85,2.99,ES,1680818083
302,aksarka,66.5606,67.7975,-23.55,90,41,2.93,RU,1680818354
303,behshahr,36.6923,53.5526,14.74,73,31,3.86,IR,1680818354
304,tautira,-17.7333,-149.15,28.0,77,84,4.55,PF,1680818354
305,esna,25.2934,32.554,22.01,12,0,3.15,EG,1680818354
306,fort nelson,58.8053,-122.7002,10.77,35,40,2.57,CA,1680818355
307,cockburn town,21.4612,-71.1419,24.73,72,0,9.37,TC,1680818355
308,jiuquan,39.7432,98.5174,1.41,26,4,2.47,CN,1680818355
309,rocha,-34.4833,-54.3333,17.22,59,93,2.72,UY,1680818355
310,hobyo,5.3505,48.5268,28.2,68,49,5.31,SO,1680818355
311,isoka,-10.1606,32.6335,16.65,99,100,0.37,ZM,1680818356
312,new norfolk,-42.7826,147.0587,13.73,84,100,0.38,AU,1680818356
313,konevo,62.1215,39.3192,-8.07,97,18,1.08,RU,1680818356
314,tateyama,34.9833,139.8667,18.96,79,54,12.08,JP,1680818356
315,nadvoitsy,63.8667,34.3167,-0.65,90,100,2.53,RU,1680818356
316,boone,39.0334,-92.3335,13.44,33,95,2.19,US,1680818356
317,pochutla,15.7432,-96.4661,33.23,42,0,3.88,MX,1680818357
318,mandalgovi,45.7625,106.2708,-4.61,42,0,4.79,MN,1680818357
319,kodinsk,58.6881,99.1844,1.21,92,100,5.08,RU,1680818357
320,bac lieu,9.285,105.7244,27.01,75,15,3.01,VN,1680818358
321,russellville,35.2784,-93.1338,16.1,38,0,3.6,US,1680818358
322,kota belud,6.351,116.4305,23.54,87,77,1.74,MY,1680818358
323,havelock,34.8791,-76.9013,26.99,79,40,6.69,US,1680818358
324,hithadhoo,-0.6,73.0833,27.76,69,8,1.92,MV,1680818358
325,sakakah,29.9697,40.2064,15.76,23,0,3.18,SA,1680818359
326,kirkuk,35.4681,44.3922,15.12,52,0,2.36,IQ,1680818359
327,pingliang,35.5392,106.6861,3.91,42,53,1.67,CN,1680818359
328,nouadhibou,20.931,-17.0347,18.99,72,100,7.72,MR,1680818359
329,mehamn,71.0357,27.8492,2.95,64,100,10.29,NO,1680818359
330,aguililla,18.7333,-102.7333,33.01,16,0,3.63,MX,1680818359
331,cantu,45.7294,9.1405,9.76,57,89,0.89,IT,1680818360
332,bela palanka,43.2183,22.3111,1.33,92,74,1.02,RS,1680818360
333,matara,5.9485,80.5353,24.57,89,82,2.19,LK,1680818360
334,daru,-9.0763,143.2092,26.08,89,100,2.83,PG,1680818360
335,sainte-marie,-20.8968,55.5496,25.07,78,20,3.6,RE,1680818360
336,la ronge,55.1001,-105.2842,4.12,25,0,3.09,CA,1680818361
337,salvador,13.8333,-88.9167,31.02,31,0,4.89,SV,1680817904
338,tasiilaq,65.6145,-37.6368,-7.19,91,100,5.32,GL,1680818361
339,bereda,43.2686,-7.5406,3.97,100,53,1.51,ES,1680818361
340,chor,25.5167,69.7667,25.67,40,0,3.67,PK,1680818361
341,la rioja,42.25,-2.5,4.88,62,34,1.99,ES,1680818361
342,coruripe,-10.1256,-36.1756,25.67,81,86,4.38,BR,1680817988
343,college,64.8569,-147.8028,-8.78,69,100,3.09,US,1680818362
344,clarence town,-32.5833,151.7833,19.43,77,48,1.4,AU,1680818362
345,sandnessjoen,66.0217,12.6316,1.29,79,16,5.19,NO,1680818238
346,tete,-16.1564,33.5867,21.05,94,0,0.0,MZ,1680818362
347,dingle,10.9995,122.6711,23.09,91,97,2.63,PH,1680818362
348,imbituba,-28.24,-48.6703,19.17,89,100,1.06,BR,1680818287
349,hami,42.8,93.45,8.1,20,12,3.09,CN,1680818363
350,laem sing,12.4816,102.0738,27.55,81,3,2.45,TH,1680818363
351,haines junction,60.7522,-137.5108,3.97,60,100,3.09,CA,1680818363
352,solone,48.2081,34.8721,6.88,76,100,1.82,UA,1680818363
353,turukhansk,65.8167,87.9833,-31.5,95,91,4.74,RU,1680818364
354,santa ana,33.7456,-117.8678,26.45,23,40,6.17,US,1680818204
355,eureka,40.8021,-124.1637,13.12,76,100,11.03,US,1680818231
356,klaksvik,62.2266,-6.589,4.51,82,78,5.34,FO,1680818364
357,pemberton,50.3164,-122.8027,10.0,90,100,2.41,CA,1680818364
358,namibe,-15.1961,12.1522,25.41,76,48,0.19,AO,1680818327
359,luderitz,-26.6481,15.1594,16.9,95,52,3.7,NA,1680818365
360,dhangadhi,28.7079,80.5961,20.13,30,0,1.23,NP,1680818365
361,biak,-0.9131,122.8766,23.87,86,100,1.0,ID,1680818365
362,viedma,-40.8135,-62.9967,22.95,55,78,7.39,AR,1680817960
363,bam,29.106,58.357,21.17,20,0,3.92,IR,1680818365
364,nishihara,26.1842,127.7558,22.6,89,75,7.72,JP,1680818366
365,farap,39.1704,63.6116,21.0,32,100,5.14,TM,1680818366
